valor_transacao,numero_cartao,id_lojista,mes_transacao,ano_transacao,dia_transacao,hora_transacao,minuto_transacao,segundo_transacao,indicador_fraude
47515,7608687009269048,2232,3,2010,12,7,7,14,1
3624,7098057596579146,2657,4,2014,13,23,40,41,1
22726,7148204143486481,4393,10,2017,12,6,4,45,0
52581,6148774289430578,1006,5,2020,4,0,45,53,1
82360,5276169711198157,4051,12,2013,26,3,51,9,1
53038,2476547209002970,4611,12,2014,3,20,34,17,0
89861,8306533003910208,4524,11,2022,8,19,5,13,1
73196,1716155565390570,112,12,2010,4,2,20,34,0
52356,7586225858836805,2912,6,2010,3,12,20,0,1
99886,2743377728060986,2446,3,2019,26,7,7,46,1
4406,1713219779102640,3870,12,2019,9,3,5,53,1
40841,3073481976405473,2413,11,2011,23,3,47,44,1
76893,3919473739301799,2761,7,2018,10,21,20,52,1
46517,2089017840208181,4125,9,2019,3,17,20,17,0
28269,2661608493108433,2715,11,2022,25,0,18,9,0
81896,4013980612989569,3924,3,2019,13,23,9,15,1
23210,5741384843003153,3989,4,2021,7,10,6,7,0
17607,7623829407452987,4453,11,2011,22,11,10,13,1
73568,6948197911141438,1094,10,2011,12,15,59,28,1
76558,3749112910619140,2321,2,2019,3,12,11,45,1
60899,5894994055715348,3510,6,2017,13,21,35,48,0
80148,7886419352931057,3249,9,2019,18,17,17,23,0
9900,5555248531475975,3624,6,2013,2,18,35,7,1
7152,9318439201069727,3435,7,2020,23,22,5,40,0
73960,8475524525519600,1494,12,2011,10,17,14,40,0
17554,9613494340634591,858,3,2019,1,18,9,30,1
65404,8930296917295038,468,7,2010,25,20,3,13,1
41013,3940876240298525,519,5,2013,3,18,36,58,1
81046,3100277757167209,4838,4,2017,11,3,33,55,0
5433,9580362810346279,2400,1,2021,14,18,29,52,1
1204,3732579627964793,1564,12,2016,2,23,0,32,0
61921,4084369205933861,1455,5,2014,14,8,41,29,1
26556,4400902344093719,2544,3,2016,15,13,28,50,0
63185,6347969505677440,1090,12,2023,25,4,59,34,0
28569,6348697660142376,3459,2,2014,2,4,21,38,0
48472,8398874845337638,608,4,2013,23,19,45,56,0
94602,5413904520272027,364,7,2018,15,2,34,11,1
72028,6249492640723553,2122,9,2012,23,15,16,5,0
29972,8000061364206560,2189,6,2021,25,20,55,27,1
13601,9160727347105388,3470,9,2020,6,7,56,28,0
20922,5341841650602830,1496,1,2020,18,18,59,8,0
85967,3528174213801320,3880,12,2015,21,9,45,51,1
79547,5496370285507463,1715,11,2018,24,1,14,7,1
9915,8348674725056104,3211,3,2019,30,9,57,55,1
77605,8905395174409225,1670,10,2023,28,22,6,28,1
60673,8208242936900235,3595,6,2018,24,18,58,17,1
51843,1587734631698393,2738,5,2015,11,11,29,44,1
54055,1579868020110234,1205,5,2023,24,9,28,3,1
75761,5622571491458009,479,4,2012,28,8,41,26,0
21246,1541085299397723,1908,8,2023,4,23,29,5,1
70123,6113819661607738,624,9,2019,25,14,47,36,1
30551,6441914797297675,1808,12,2014,3,8,40,59,0
48928,8726031560948847,4407,8,2022,5,8,16,2,0
35177,1341195294105939,4089,4,2019,23,20,17,1,0
99648,2360975173640132,1029,10,2022,15,8,51,53,0
90643,2828832371453626,2977,6,2011,12,21,11,0,0
51711,8093138980322307,2867,2,2023,24,18,8,23,0
82109,8356725299936563,4304,7,2024,23,8,6,37,0
74546,9958914431859663,962,4,2013,1,3,44,47,0
50088,9240520524941569,3067,8,2014,11,16,45,23,0
97541,8545177790801358,353,10,2014,24,21,24,57,0
38698,8123262721290718,2709,7,2023,30,6,28,31,0
90661,3372867322588203,2231,4,2010,18,14,1,47,0
4482,8196862618322211,4189,7,2010,17,5,30,25,0
51270,3905382980152076,1713,5,2020,14,17,8,9,0
8845,7660509415529453,1792,3,2010,8,15,55,10,0
42299,4642558465415636,1233,9,2020,11,14,11,27,1
34596,2600241623408178,1647,4,2018,5,18,31,36,0
51309,5222036465577670,2738,6,2019,20,3,56,31,1
28323,2757618381868402,2110,3,2021,20,6,43,28,0
85395,7002218958317965,4328,6,2019,14,11,8,59,0
74865,9295248064058891,1831,3,2023,3,20,15,19,0
9085,5806727050837577,2807,7,2021,10,15,32,16,1
83932,4429722194052180,2852,9,2011,30,8,49,55,1
33325,1306982130316464,1040,4,2017,29,21,43,32,0
54560,2888189486942318,3713,7,2020,14,19,21,18,1
61500,7166456328035135,4358,7,2019,12,11,15,54,0
9717,1170678174128503,649,8,2013,1,5,0,21,1
30961,7017171422306114,2567,2,2021,21,21,35,55,0
36001,1834652810192317,1987,10,2017,27,17,33,41,1
67748,9228243741131934,2329,2,2022,6,3,8,33,1
19973,8351868252137579,2789,11,2020,15,15,53,53,0
93824,2904187712975329,2464,2,2024,18,16,7,48,0
9244,5266262336344913,3319,11,2013,30,0,50,11,0
81432,5666742714413793,1183,3,2022,2,19,21,19,0
89440,3432296019310469,3567,9,2016,18,4,52,54,1
49842,2340734630898870,359,3,2015,27,13,21,12,1
94892,7549745394307888,3058,5,2016,22,18,49,56,0
34067,9486661306213246,812,9,2013,30,19,8,25,0
35742,6449039844710952,845,4,2012,14,3,34,57,1
3808,1411115012186450,2112,6,2018,21,19,9,46,1
36534,5080412359050755,4105,3,2017,27,17,15,30,0
43494,3608006611344426,1952,3,2011,2,14,23,21,1
85817,4797454414721892,4328,11,2010,7,17,10,16,0
66057,5698818134783855,3649,10,2020,19,10,36,9,1
53173,2435447809865499,2426,4,2014,8,13,57,44,0
65895,7962563064222710,4366,3,2021,25,10,20,59,0
83426,1338297410412991,2251,12,2010,28,8,58,2,1
28953,6005753550192349,4806,7,2023,23,15,56,54,0
76846,7476969708823196,4224,9,2020,26,9,11,2,1
88561,2868719697222876,1366,10,2011,21,21,24,7,0
70244,3812363648749986,1469,9,2016,21,5,23,20,0
43456,5454037605221407,2557,11,2013,25,19,28,58,1
91214,7604924032254011,4718,3,2014,14,0,41,57,0
58589,5070108870001424,4373,1,2017,4,13,23,13,1
12974,4564607010521887,431,9,2023,6,12,57,34,1
10189,5518131032083621,2219,10,2022,9,0,15,55,1
22263,4656736152378353,3927,1,2013,10,15,43,15,0
6532,3229967265462801,1364,6,2024,10,12,57,45,1
88253,7197862166291560,2386,4,2017,19,22,8,49,1
95265,2451106478582400,4479,1,2017,30,8,28,14,1
5809,6126858858985172,1256,2,2018,27,2,31,55,0
77060,9780405764146708,3268,6,2019,2,2,54,34,0
91887,3503861469747398,2704,3,2018,13,14,50,32,1
11436,9229085653558502,3315,4,2017,28,18,44,12,0
51291,2513484786415310,221,11,2012,7,23,29,49,0
87754,9708044880295651,1387,8,2012,1,8,35,23,1
71056,4231788211896467,1325,3,2015,6,10,34,47,1
59093,3889260568321709,3578,8,2019,18,2,38,39,1
30351,6757123876810621,3890,6,2011,4,18,47,9,0
93568,2133229912845347,1200,9,2017,3,12,16,40,0
62689,7444916270414854,341,8,2020,24,20,34,26,0
47744,2764609163954788,2911,5,2021,27,4,23,29,0
79049,2555821261250567,4861,1,2022,11,2,57,5,1
23417,5822109490326345,2213,10,2013,16,12,28,56,0
19812,2195918560979642,555,2,2012,21,7,6,10,0
66809,3653898753787091,528,7,2017,23,16,19,22,0
38541,6488484976953305,1219,10,2011,14,0,3,49,1
2685,3540395995132372,4618,2,2014,5,8,38,52,1
17845,7100857774528574,1851,6,2017,12,1,1,48,1
95560,5987965508560038,1163,12,2021,6,20,51,31,0
32659,2721022343974386,315,6,2024,13,8,25,10,1
68224,3633002295985699,3273,3,2018,30,15,49,20,0
44735,1077673838836101,1782,7,2021,2,11,45,57,1
67270,2629370472188463,1296,9,2010,12,5,30,16,0
73838,4062406738621140,1644,4,2017,18,0,21,24,0
94258,2513547820533090,4241,4,2019,28,0,33,23,0
25841,9447099579225157,585,11,2015,27,23,17,45,1
10010,7212888437714765,685,9,2013,10,14,57,39,1
17622,5493139507456296,2141,7,2022,21,12,35,18,1
36863,6652186689597289,2391,5,2016,10,1,5,38,1
36176,5090397658173369,2828,6,2021,9,13,49,36,0
39173,9163435600563495,800,2,2021,24,11,10,1,1
31057,2523580765265192,1280,7,2015,13,17,21,12,0
40323,6017318415222802,430,3,2012,13,13,25,7,1
60475,3023745781318512,452,10,2018,11,2,0,13,0
12608,3049198355748437,3799,9,2016,9,10,1,22,0
3418,6079653201642729,677,6,2015,4,6,1,31,1
70076,4662241342541083,113,7,2010,3,23,26,2,0
94877,7481358266993680,1183,6,2024,28,20,40,20,1
43377,1214273539339918,2949,8,2012,8,15,31,6,1
19021,8116894433215768,990,5,2011,29,4,49,50,0
70159,6592519968072882,2514,2,2023,20,2,47,8,0
87688,4686324028350259,4279,9,2016,4,7,17,10,1
9471,1700772393775951,1930,9,2021,27,22,49,2,0
2296,5451434917990768,1612,4,2023,20,22,56,5,1
59567,8954416688247986,2205,2,2022,16,0,19,7,1
57228,8516107662637467,1946,6,2021,14,17,22,4,0
53372,5652371171399967,4289,7,2022,18,19,45,34,0
18076,1104988363267116,4038,6,2010,21,4,23,11,0
19546,1382695047261839,1709,9,2024,25,12,52,40,1
95771,5355057288694167,2009,10,2022,4,6,36,36,1
67946,3210874121641241,4451,4,2014,28,17,59,47,1
69193,3212734225741412,3832,10,2012,19,8,18,15,0
69138,2454589890720729,4430,2,2015,26,18,59,34,1
72352,2089450013174305,2380,12,2013,9,18,20,10,0
66768,8195595180373916,3325,8,2024,18,3,52,15,0
72583,8200065846890022,1533,9,2014,1,14,5,21,1
97180,5505307748415981,339,10,2020,5,13,8,36,1
70185,9379256793977522,4503,11,2023,20,7,0,50,0
15038,6969310377047737,1270,5,2015,4,1,12,41,1
84608,1892783489503347,4173,8,2022,1,12,7,58,1
53542,5032685562662410,849,12,2021,14,2,42,19,0
34538,2906579604377192,3725,3,2010,24,0,4,55,1
4846,8090632066958978,788,6,2023,7,20,3,4,1
34699,8907537238940163,4168,3,2016,9,12,6,29,0
52842,3878729117863385,220,4,2022,17,6,56,20,1
86647,6328773616443222,1264,12,2024,7,7,32,26,1
7605,3535175573268932,1220,6,2012,21,1,49,47,0
62830,6229912620595955,3618,10,2022,6,8,44,24,0
14367,5681402454764511,4875,2,2016,13,7,1,12,1
83718,8722188610445422,170,1,2022,21,11,49,25,1
43828,7436181366414193,4155,10,2022,6,22,7,1,1
91030,2227386074018939,3450,9,2020,4,15,6,51,0
67453,7517309753054719,2050,8,2017,30,9,24,14,1
70732,9087402605788484,1627,11,2019,11,5,28,0,1
11705,9005158886883311,2165,9,2017,13,16,38,25,1
87291,9721051809810514,2426,5,2014,20,14,52,2,1
8249,4064654627821305,825,6,2014,4,5,38,15,0
15962,2981374972080290,3720,11,2012,20,16,31,14,1
70651,3615145555778100,4445,7,2016,19,20,11,6,1
54263,2611651672808439,2437,8,2024,26,12,9,9,1
20237,8535995524333530,468,10,2013,28,16,43,51,1
22937,2463801936227714,2294,12,2020,9,9,1,23,1
95954,7984696661469879,3790,5,2024,10,19,54,1,0
98469,1072051598454799,4474,2,2018,19,4,49,17,1
27285,5435401132421813,4307,11,2018,28,18,48,45,0
61932,4463472790278280,3007,8,2013,7,18,26,41,0
10921,8042271658718807,3350,7,2018,24,19,56,16,0
18586,8689130298239881,2447,6,2014,19,23,31,5,1
50989,9162118646505855,2274,3,2012,10,14,21,44,0
56275,7815759860215369,4163,7,2022,8,19,41,21,0
42837,7942946526551038,623,6,2016,22,19,28,23,1
53093,6073572559223788,2313,10,2019,8,19,49,15,0
92848,7598196414067314,322,4,2014,19,6,32,3,1
5296,8846220963415785,4770,5,2011,9,10,41,28,1
33227,8874243407403979,1769,11,2022,7,22,9,30,1
74221,2944777121246969,107,2,2014,9,16,56,13,1
37262,4473391052996862,3980,3,2013,22,17,12,12,0
10436,5946922607505379,1310,7,2016,24,19,2,58,1
57674,3125630454068543,939,12,2015,18,19,23,20,1
52371,6704883800027086,4238,9,2017,12,15,51,13,1
29287,7776095527556574,1258,2,2016,20,3,52,0,1
35441,4349419031076605,1448,12,2016,8,1,11,57,0
52641,7942566317976317,3693,3,2023,12,0,20,2,0
12175,9904923671348608,4570,10,2014,3,11,38,46,1
86955,2976239540548222,4934,6,2021,4,8,56,28,0
7004,9619123835922761,3066,6,2021,1,10,55,7,0
94637,5378510961682271,3715,6,2014,2,1,23,47,0
80609,4332867410243336,4833,3,2021,9,7,45,32,0
52238,3094149011015031,1771,1,2024,10,5,25,15,1
5346,2446130964046314,793,4,2019,24,3,49,28,1
55893,3636661103847996,3288,3,2016,5,4,12,16,0
38420,9697672676368488,3002,6,2021,19,15,35,19,1
66225,2747574038418732,915,9,2013,13,2,18,27,0
16180,2181085983763715,140,9,2020,7,19,45,38,1
88122,9027756284232172,4337,6,2020,13,22,30,54,0
75984,2631921222011386,3779,7,2020,6,22,32,35,1
42076,8882585641539382,2533,1,2012,30,10,40,26,1
3887,3976677936471114,538,10,2015,15,11,49,49,1
53740,6049480276492656,297,5,2014,8,5,14,7,1
11394,3255362966470443,1885,3,2011,12,16,50,35,0
55347,2602877048285259,1972,2,2011,11,18,40,6,1
35902,2821539436739392,4057,5,2021,13,6,8,27,1
62057,9570253801541085,1455,7,2016,17,7,32,3,1
60815,3736818139141668,4443,5,2022,20,2,1,17,0
83814,9406823922320248,1694,2,2024,23,11,57,53,0
35335,3021051129434942,2694,7,2013,1,21,57,7,1
36654,2940969138095040,2561,8,2018,21,21,7,37,0
8420,4862539465628102,2668,8,2012,1,12,5,16,1
28401,8849470353159974,2429,4,2014,25,16,24,11,0
18932,4103224926381517,4631,1,2010,3,10,41,6,0
39955,6444685602262434,3567,4,2014,13,16,15,54,1
62600,6476371517591018,4103,9,2024,5,3,22,52,1
79184,1275858858062015,1313,8,2024,10,0,53,23,1
32108,5591492089097057,3528,6,2011,11,1,58,16,1
72405,3802781070860936,3241,8,2022,8,12,48,28,1
74076,5460065244763989,1604,7,2010,4,12,36,16,0
71394,4169954932299719,677,6,2020,6,9,42,25,0
48474,6450848595412725,3556,10,2010,2,18,45,2,0
68803,2101752346059830,3511,12,2020,29,22,25,53,1
26011,7125704103135210,2634,9,2014,19,19,35,57,1
8841,5192754382650797,3784,5,2021,30,5,22,13,1
92699,1777192944472519,3770,9,2024,18,17,50,41,0
11472,9099216053644505,2961,5,2022,8,5,41,7,1
40972,8242453669122607,1265,1,2019,29,23,18,39,1
30067,4278207978690047,2290,2,2021,12,8,12,15,1
9399,8001629597464389,2186,1,2021,2,10,47,41,1
32510,7650037665247448,1143,9,2011,20,12,14,40,0
98825,2864550279361045,2369,2,2014,5,9,31,46,1
52990,8016407517104043,4747,2,2022,23,16,23,10,0
74256,8995951675800766,753,3,2024,9,20,16,32,1
83352,3210765093009739,2761,11,2010,29,5,29,3,0
31330,1865111494144756,1397,1,2015,5,14,55,22,1
91664,4647463615602051,3052,12,2021,23,9,12,41,1
98749,3260816768363860,2829,12,2024,19,13,16,48,1
22426,3772467876371659,2865,1,2018,7,18,8,31,1
7829,4878430855296010,3000,12,2018,13,17,32,21,1
61629,9336553309013610,462,8,2011,18,20,39,16,1
23454,6400763162559998,2956,10,2013,2,2,57,29,0
7643,3124792059749339,4425,7,2024,29,6,21,26,1
80333,7947968868916554,4515,11,2024,10,7,57,50,0
15914,5040125789261451,559,2,2016,15,1,6,20,1
83045,3188502768522692,717,6,2024,26,13,5,27,0
84348,7955770017212832,1027,5,2011,9,9,20,11,1
26199,7496604447506341,645,3,2019,23,13,16,42,1
99154,4677851078130838,3651,7,2024,25,0,41,12,0
67663,9176708601367888,2339,2,2024,1,2,59,19,0
51196,5943286568238987,4465,6,2016,8,4,59,56,1
1859,7720556149526701,4123,10,2021,5,14,56,52,1
71893,8313567117392070,2221,8,2015,20,21,33,20,1
32052,3815526659594933,2129,12,2011,16,3,58,17,0
84520,6215853065049948,2245,2,2021,8,9,58,36,0
10243,6321978157094554,3290,9,2018,19,17,52,56,1
70669,5271385028916827,1790,9,2019,16,3,52,39,1
49000,8731679025741287,4303,5,2021,3,18,28,46,1
9746,3964578257806085,4661,11,2021,24,18,7,15,0
31190,2093467823431063,2417,1,2010,21,5,27,38,0
91106,8443009656622695,4832,5,2023,20,14,11,25,1
84782,9279480780709117,4867,8,2019,15,7,43,1,1
1304,6863024039211346,4924,7,2015,8,11,49,28,0
12010,5219706988968144,4440,6,2013,23,18,37,27,0
96609,8221120247478238,1143,10,2024,16,15,1,8,0
76165,8088679141068646,3445,7,2023,8,17,0,17,0
47711,4745931323642576,3684,9,2018,6,5,18,51,1
31451,3172256372342958,2281,12,2024,22,2,21,7,1
58517,2810104183334196,653,11,2017,21,4,34,18,0
57430,7078969348769013,832,11,2016,11,11,3,42,1
44502,5910602348266223,1295,9,2024,9,15,5,35,0
7112,7142012963843935,3870,8,2014,21,11,31,5,0
82456,1688619983854634,4005,3,2021,13,14,15,16,1
89299,8019138241102333,3713,2,2010,14,3,20,5,0
89515,8798028049856429,2686,9,2013,23,9,11,56,1
68376,5154840222422643,3665,10,2021,18,9,31,50,0
60888,4033945845823308,870,5,2017,25,4,20,39,1
45550,9976441173635241,4298,3,2016,8,2,33,58,0
66244,7211652807914490,212,8,2012,30,22,13,39,0
5456,1323801915186542,1897,10,2024,26,2,49,18,0
6918,7675170909494122,785,7,2012,5,9,39,41,1
83211,2267777559166921,2128,9,2015,9,9,52,40,1
73179,8638457235972547,250,8,2010,17,4,42,36,1
66844,1336553952174253,1584,1,2013,1,11,42,50,1
61909,9213606670238828,4839,9,2018,9,9,10,29,1
74532,9481859361293447,3129,4,2013,1,2,38,0,1
69348,3157432323566380,387,3,2011,22,0,59,45,0
5777,6097602656987888,4230,3,2023,11,18,1,43,0
5028,5191758888136746,2249,10,2012,6,20,35,54,1
25509,5678093440978872,2911,9,2014,6,10,27,34,1
62425,4319570830597099,3233,6,2021,11,6,42,12,1
33297,7198238819378637,3497,5,2010,12,14,20,10,1
24881,3970716992844795,2725,3,2010,6,8,50,41,1
71727,9547107242068765,2561,3,2023,10,16,38,9,0
43923,2959530600605705,1417,2,2024,22,22,46,31,0
18523,5488212125560152,1853,2,2010,13,13,7,16,0
55304,4615979036583361,3816,7,2017,26,16,36,4,0
80145,4002005891811593,3460,4,2013,7,9,11,0,0
15473,1573977169085224,2189,3,2020,24,2,26,37,1
70159,7953107270618668,4832,3,2024,12,7,53,7,1
69350,1897388898990952,533,12,2024,8,22,27,1,0
7660,8868678766868305,1733,8,2017,22,9,29,26,1
92337,5837197518067565,2235,4,2020,19,15,14,59,0
92623,9295197398681746,3619,12,2011,17,2,7,48,1
13899,5114551230590324,1513,3,2012,9,10,2,22,0
39434,5711221953298802,1072,9,2013,5,12,26,50,1
97430,2722255108869928,966,1,2016,4,10,3,17,1
18538,7627972583896433,174,6,2015,21,1,10,53,1
13828,6278896725568302,1533,7,2017,22,18,51,16,1
62279,4746723415206539,3382,3,2012,10,15,35,42,1
98274,3233525256389623,425,8,2016,24,12,46,53,1
13726,5174274454953775,2393,10,2016,15,5,43,22,1
34243,2126621110667795,3889,3,2011,1,15,25,38,0
84379,5919023712767180,390,9,2019,15,8,28,10,0
36857,5693805068137711,4251,5,2024,30,12,49,54,1
13189,3721729037404377,3430,11,2016,4,7,8,39,1
9890,1661828620550910,1562,2,2023,10,23,57,31,1
43768,2129216015247193,2230,10,2022,6,20,33,17,0
89955,8738364591951030,4116,10,2015,5,8,48,59,1
20387,4409407578658148,2066,7,2023,23,12,30,17,0
14938,7207201211232429,4062,12,2016,16,14,7,9,1
83887,7585715434653400,4461,5,2018,13,8,7,48,0
3013,6300650404241061,4828,11,2024,30,4,46,26,1
22092,7761179603342989,4431,11,2016,10,10,48,46,1
79450,8743883349383331,3239,11,2022,20,23,59,50,0
37470,9826168517744419,1707,11,2015,17,18,23,27,1
66893,3550405841511939,4197,12,2011,2,2,10,39,1
79622,7238857928230890,1454,4,2015,19,23,37,19,1
84358,1084375287669005,2570,3,2019,29,0,55,17,0
44655,1930758775382058,3233,11,2016,10,8,21,30,0
36109,9753662003697376,4577,4,2011,25,8,30,5,1
79335,2830245489044457,3379,1,2024,2,12,33,57,0
27541,5887741928951515,2487,10,2021,20,2,39,48,1
87230,6464503386559872,1001,4,2019,1,1,7,15,0
36197,2594666332464934,1773,7,2021,14,21,36,47,1
95035,3283363720532881,882,9,2019,9,6,50,26,1
74306,7635491824184600,3872,10,2017,27,21,24,47,0
46160,9190784348261184,2476,1,2022,12,15,21,36,0
32496,4993545645118728,1935,8,2016,2,5,41,9,0
88415,9483642448832680,3466,9,2013,27,9,10,9,0
78795,1947304515003643,4798,9,2012,8,8,37,7,1
84481,5576926412715405,4021,9,2024,1,23,24,6,0
33843,4036792850836780,3757,6,2012,20,10,46,34,0
81838,5745188634140749,2303,12,2020,19,14,39,55,1
52778,9164310704397782,2254,1,2014,7,5,59,39,0
43096,1616656194797304,2363,1,2010,12,23,51,16,1
72240,8258826987663985,2734,10,2023,15,20,37,58,0
88995,9421613277633151,2026,12,2021,19,2,6,6,1
25372,4314735833420000,2326,3,2017,10,5,34,35,0
14120,8484037278405771,1304,9,2019,20,13,41,49,0
37168,2564254090962356,2115,1,2019,25,9,57,59,1
60475,9439919704078855,2380,2,2014,9,10,16,46,0
15530,2601947230571678,4867,2,2011,28,1,23,26,1
94534,7757631878113321,4888,6,2010,16,15,34,58,1
80496,4397342397158006,4220,8,2014,2,23,50,20,1
58833,3275267356774125,1578,5,2017,12,8,9,53,1
33785,9796650795098109,4331,5,2016,25,6,21,53,1
76396,3859161206009080,1007,5,2014,4,3,53,36,0
35567,5707699536405617,1256,1,2020,22,5,57,48,1
67369,7727533272876929,1687,11,2012,6,21,47,25,1
40020,3981381019700074,1394,3,2012,6,16,27,22,1
31981,5975000965745730,2389,3,2018,1,23,41,36,1
25347,8398583484839588,2655,11,2018,2,19,50,25,0
83458,1142557757112243,1840,8,2015,11,9,11,26,0
88980,7908745801121729,681,7,2014,6,11,12,44,0
82262,6176522859606716,4775,1,2012,16,22,0,58,0
95290,9542687102093985,476,9,2014,5,5,51,58,1
13768,8144653967170343,4147,10,2023,12,10,43,25,1
45660,2328128827822933,1765,12,2018,1,17,48,11,0
33630,1563773551261690,3763,10,2015,1,17,58,17,0
29742,4503537940453602,2070,9,2024,27,19,6,0,0
44014,4681113626266585,837,1,2015,30,21,23,7,1
40795,3302527813911695,4653,8,2010,13,0,56,45,1
67200,2507630936605323,3285,2,2021,14,21,15,7,1
18557,3147184619477044,3323,11,2019,18,5,0,37,1
35922,2900935524591911,2922,10,2012,27,5,49,46,1
12389,5460039688906403,926,6,2019,8,23,46,35,0
83995,7687764389465910,3451,5,2021,11,19,58,35,0
59577,8733209405006149,4556,3,2023,8,20,45,20,1
7921,1545286367331296,4615,8,2018,23,7,12,44,1
46612,7497064437588742,3404,11,2019,2,16,39,32,0
30197,2919389777724400,3031,10,2015,25,15,12,17,0
55688,1083193452841782,4604,11,2016,9,19,53,51,0
49833,9148133384720864,1617,8,2012,15,12,20,28,0
68343,2926699279465691,3062,7,2017,26,12,25,47,0
45930,4531710237112675,935,9,2024,9,3,17,41,0
87386,6367440713382011,3107,2,2020,3,22,4,27,1
18124,4540852775274890,3519,4,2018,12,17,15,0,1
91599,2039729374881702,3353,12,2024,28,20,13,42,1
81125,2428032237604487,1537,4,2018,15,10,22,55,0
93656,5346329098633756,767,3,2021,1,11,51,47,0
91626,8070088167919362,1459,4,2020,5,9,57,19,0
33327,7258699251205031,4661,4,2013,18,0,53,0,1
1846,8600099645702338,1242,3,2011,7,11,14,47,0
61439,7180812071425060,1357,1,2011,2,13,41,52,1
6422,8557697599834536,350,6,2018,29,0,4,54,1
31513,5221014444107904,3050,3,2022,16,8,52,1,1
88242,8879667916104395,4632,9,2017,21,14,12,9,1
26765,6679072543242573,1790,1,2014,28,20,19,53,0
22626,9057036401437969,4965,11,2014,30,3,50,30,1
95717,4757165984711089,4864,11,2011,8,1,11,6,1
1118,1167092322773462,785,7,2014,5,2,49,34,0
41261,3362040628969693,1118,2,2015,28,14,44,29,0
57065,7026623367753625,134,3,2012,23,0,17,24,1
40483,6807527522978491,3743,6,2018,15,11,34,17,1
9806,2545678897415088,1206,3,2018,17,5,16,22,1
3713,2864355808092307,3568,4,2016,25,7,10,41,1
75167,6243268040404121,1389,11,2022,17,20,19,20,1
63264,7219014514058882,2352,4,2012,28,5,43,56,0
32435,9803823614656350,2149,7,2010,19,10,57,53,0
74405,1088086936305778,1447,6,2020,4,17,27,57,0
92740,5800249102541548,4972,3,2011,18,7,12,2,1
3779,8077013267887367,4610,9,2010,4,4,6,35,0
29186,6812165707614571,1248,2,2017,19,22,25,47,1
23061,3131289260843847,4684,8,2019,5,21,49,10,0
51313,2072791108426717,4809,7,2021,18,9,33,54,1
1619,4939624533509114,2663,2,2015,9,18,43,29,1
71585,7137131465928815,3140,9,2010,11,6,10,28,0
23880,1914463597159028,4885,12,2013,28,13,12,48,0
94729,8781108523005951,4667,10,2020,13,2,25,16,0
51116,3089936772489787,2992,4,2022,19,20,6,41,0
47598,3156596239601949,2040,8,2013,10,14,6,32,1
60692,1538072614500893,3915,2,2012,21,9,17,32,0
68981,3916028994861675,4043,5,2017,24,2,35,48,0
56285,6063166928094002,777,1,2020,13,17,52,8,1
40534,5125053368398292,4737,1,2018,23,1,55,46,1
30913,2295050573604573,2617,2,2017,20,21,43,48,0
28783,6825595790100157,1908,11,2023,10,14,21,57,1
15459,8223412112105402,557,1,2012,10,9,23,54,0
50790,5853068953558608,2117,7,2021,27,3,57,24,0
75341,1825401722751999,1732,11,2016,18,21,20,28,0
3212,5138374621834728,4942,8,2020,21,19,29,37,0
30334,5805452768939604,1405,7,2015,11,19,59,18,1
96485,2331611558332581,2284,12,2020,23,1,33,43,1
39290,9874353326459476,1634,8,2017,29,2,50,49,0
41252,6940078640357249,2854,12,2010,12,0,38,57,0
80304,9302103892128220,4004,1,2014,21,15,26,30,0
11017,7966430176187500,2445,11,2018,3,18,9,48,0
76879,8726528062346776,345,8,2012,8,16,52,41,1
34531,9274482433325584,2340,5,2024,3,11,22,58,0
80017,7770357917213423,1015,4,2023,20,14,28,22,0
5568,9961732430644293,3553,2,2018,4,9,21,21,1
19479,4514442056529713,1370,10,2023,18,13,7,45,1
94899,6711586596516506,4683,12,2014,8,8,30,34,0
82826,5483047426896381,3219,1,2023,5,15,2,33,0
91087,1772176338414644,2138,5,2010,2,6,51,59,0
42474,2898480675656450,1960,5,2011,8,23,25,17,0
69937,1775162878163060,3736,11,2016,14,13,12,31,1
69119,9572058692003149,2279,9,2023,1,3,3,11,1
59975,6822549913971712,864,12,2024,19,21,54,11,0
48707,5440254513894657,3209,11,2010,5,23,14,26,1
46914,9744311631629230,958,10,2010,25,19,13,35,0
52167,4660832331304144,2324,12,2010,7,23,2,40,1
71718,6635575488332290,1400,5,2024,24,21,41,21,0
21693,9853575233704463,810,4,2010,19,1,12,41,0
7734,5199247941084908,2823,7,2010,12,8,45,42,1
27640,5174063094011002,1113,5,2015,27,3,32,13,0
29042,3077466874176242,2264,2,2014,24,10,16,25,1
59501,3668260579004377,3804,6,2018,1,5,50,32,0
19653,9824890990074055,1088,11,2024,20,22,50,31,0
5881,7781844859935034,3292,9,2010,3,16,49,2,1
44745,5763457150071561,4752,4,2012,15,11,27,3,1
85190,8303183633723981,2855,12,2014,29,2,6,25,0
86507,1058924805661671,2996,10,2013,17,18,40,27,1
78299,2114106117100862,4069,12,2013,30,12,41,51,0
60999,5914112196494271,313,8,2011,20,17,1,12,0
22926,2884159424647019,804,8,2023,18,4,43,27,0
29612,2578720030403252,1907,7,2010,11,14,59,39,0
79686,3734027615277839,4857,11,2011,20,4,50,18,0
39571,8916725862301329,1930,9,2010,8,9,50,45,1
2516,8100495438617853,966,5,2010,7,22,57,9,0
46756,9959792184460094,2229,3,2019,9,16,34,1,1
